name,appid,developer,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,genre,tags
CODE VEIN,678960,BANDAI NAMCO Studios,BANDAI NAMCO Entertainment,24631,3128,"1,000,000 .. 2,000,000",1420,901,934,1120,5999,5999,0,1411,"Action, RPG","{'Souls-like': 609, 'Character Customization': 471, 'Anime': 470, 'Action RPG': 456, 'JRPG': 440, 'Co-op': 432, 'Third Person': 431, 'Difficult': 423, 'Vampire': 418, 'Singleplayer': 417, 'RPG': 413, 'Action': 409, 'Dark Fantasy': 207, 'Post-apocalyptic': 204, 'Multiplayer': 200, 'Online Co-Op': 177, 'Hack and Slash': 163, 'Violent': 153, 'Adventure': 142, 'Gore': 134}"
Half-Life,70,Valve,Valve,56334,2043,"5,000,000 .. 10,000,000",781,215,176,261,999,999,0,434,Action,"{'FPS': 2123, 'Classic': 1647, 'Action': 1281, 'Sci-fi': 1094, 'Singleplayer': 959, 'Shooter': 920, 'First-Person': 795, ""1990's"": 710, 'Aliens': 678, 'Multiplayer': 673, 'Story Rich': 574, 'Silent Protagonist': 490, 'Adventure': 490, 'Atmospheric': 485, 'Great Soundtrack': 353, 'Moddable': 321, 'Retro': 312, 'Linear': 241, 'Difficult': 235, 'Gore': 71}"
Call of Juarez: Gunslinger,204450,Techland,Techland Publishing,15709,779,"1,000,000 .. 2,000,000",738,0,339,0,1499,1499,0,37,Action,"{'Western': 769, 'FPS': 533, 'Action': 453, 'Story Rich': 288, 'Bullet Time': 276, 'Singleplayer': 273, 'Shooter': 273, 'Comedy': 237, 'First-Person': 219, 'Narration': 206, 'Adventure': 161, 'Atmospheric': 151, 'Dynamic Narration': 149, 'Funny': 147, 'Arcade': 143, 'Historical': 141, 'Alternate History': 140, 'Violent': 138, 'America': 137, 'Gore': 135}"
Easy eSports,282660,EasyAntiCheat Ltd,EasyAntiCheat Ltd,6811,1797,"500,000 .. 1,000,000",787,99,161,99,0,0,0,47,Utilities,"{'Utilities': 121, 'Free to Play': 77, 'Software': 10, 'Multiplayer': 7}"
Pathfinder: Kingmaker - Enhanced Plus Edition,640820,Owlcat Games,Deep Silver,16220,4455,"1,000,000 .. 2,000,000",5217,603,2143,664,1999,1999,0,1578,RPG,"{'RPG': 442, 'Fantasy': 216, 'Party-Based RPG': 201, 'CRPG': 189, 'Isometric': 184, 'Character Customization': 175, 'Choices Matter': 169, 'Singleplayer': 167, 'Story Rich': 163, 'Real-Time with Pause': 139, 'Dungeons & Dragons': 124, 'Adventure': 123, 'Strategy': 99, 'Sexual Content': 86, 'Medieval': 82, 'Gore': 50, 'Female Protagonist': 41, 'Open World': 29, 'Nudity': 28, 'Turn-Based': 27}"
Zombie Army Trilogy,301640,Rebellion,Rebellion,11464,1646,"1,000,000 .. 2,000,000",508,56,248,56,4499,4499,0,179,Action,"{'Zombies': 508, 'Co-op': 266, 'Action': 262, 'Multiplayer': 231, 'World War II': 226, 'Third-Person Shooter': 217, 'Horror': 213, 'Sniper': 208, 'Gore': 185, 'Survival': 177, 'Shooter': 170, 'Singleplayer': 147, 'Post-apocalyptic': 133, 'Survival Horror': 111, 'Third Person': 107, 'War': 98, 'FPS': 86, 'Open World': 75, 'First-Person': 70, 'Female Protagonist': 69}"
Rec Room,471710,Rec Room,Rec Room,11253,952,"1,000,000 .. 2,000,000",415,16,199,16,0,0,0,594,"Action, Adventure, Casual, Free to Play, Massively Multiplayer, Sports, Early Access","{'VR': 220, 'Free to Play': 190, 'Multiplayer': 160, 'Sports': 112, 'Massively Multiplayer': 98, 'Early Access': 92, 'Online Co-Op': 92, 'Casual': 81, 'Funny': 80, 'Co-op': 79, 'Adventure': 75, 'First-Person': 63, 'Action': 51, 'Simulation': 45, 'Psychological Horror': 34, 'FPS': 33, 'Sandbox': 31, 'Family Friendly': 31, 'Shooter': 27, 'Singleplayer': 13}"
RAGE,9200,id Software,Bethesda Softworks,11242,3443,"200,000 .. 500,000",745,0,524,0,999,999,0,87,Action,"{'FPS': 562, 'Post-apocalyptic': 509, 'Action': 407, 'Open World': 299, 'Shooter': 290, 'Singleplayer': 206, 'First-Person': 195, 'Racing': 184, 'Co-op': 145, 'Sci-fi': 143, 'Multiplayer': 141, 'Atmospheric': 131, 'Gore': 126, 'Adventure': 123, 'RPG': 116, 'Horror': 88, 'Crafting': 77, 'Survival': 74, 'Online Co-Op': 65, 'Linear': 65}"
Overlord,11450,"Triumph Studios, Virtual Programming",Codemasters,4465,324,"1,000,000 .. 2,000,000",205,48,93,48,499,499,0,38,RPG,"{'RPG': 264, 'Villain Protagonist': 251, 'Third Person': 204, 'Comedy': 199, 'Fantasy': 193, 'Action': 193, 'Funny': 139, 'Adventure': 137, 'Singleplayer': 129, 'Dark Humor': 118, 'Action-Adventure': 82, 'Strategy': 78, 'Atmospheric': 66, 'Action RPG': 63, 'Puzzle': 47, 'RTS': 42, 'Open World': 42, 'Hack and Slash': 35, 'Story Rich': 34, 'Multiplayer': 25}"
DARK SOULS II,236430,"FromSoftware, Inc","BANDAI NAMCO Entertainment, FromSoftware, Inc",33274,4050,"1,000,000 .. 2,000,000",6608,0,4723,0,2499,2499,0,164,"Action, RPG","{'Souls-like': 3276, 'RPG': 3055, 'Dark Fantasy': 2270, 'Difficult': 1885, 'Action RPG': 1787, 'Action': 1538, 'Unforgiving': 1419, 'Adventure': 1407, 'Exploration': 1301, 'Atmospheric': 1281, 'Co-op': 1036, 'Multiplayer': 972, 'Fantasy': 868, 'Epic': 824, 'PvP': 754, 'Immersive': 746, 'Third Person': 653, 'Replay Value': 537, 'Open World': 463, 'Dark': 347}"
